Generation,Max Fit, Min Fit, Mean Fit, Min Valid Color
0,0.9588888888888889,0.5,0.7410666666666664,450
1,0.9588888888888889,0.758888888888889,0.8520555555555558,240
2,0.96,0.8722222222222221,0.9282,109
3,0.96,0.9288888888888889,0.9506111111111109,109
4,0.96,0.9400000000000001,0.9536666666666662,109
5,0.9611111111111111,0.9466666666666667,0.9552999999999996,109
6,0.9622222222222222,0.9388888888888889,0.9556333333333327,109
7,0.9622222222222222,0.9422222222222222,0.9567555555555546,109
8,0.9644444444444444,0.9511111111111111,0.9584999999999984,109
9,0.9655555555555556,0.9433333333333334,0.9598555555555554,109
10,0.9655555555555556,0.9555555555555556,0.9618111111111106,109
11,0.9677777777777778,0.96,0.9636777777777767,109
12,0.9677777777777778,0.9611111111111111,0.9649333333333341,109
13,0.9688888888888889,0.9633333333333334,0.9660111111111118,109
14,0.97,0.9644444444444444,0.9670555555555563,109
15,0.9711111111111111,0.9633333333333334,0.9677555555555543,109
16,0.9711111111111111,0.9655555555555556,0.9684777777777768,109
17,0.9711111111111111,0.9677777777777778,0.969277777777778,109
18,0.9722222222222222,0.9666666666666667,0.9698666666666663,109
19,0.9722222222222222,0.9688888888888889,0.9702666666666667,109
20,0.9722222222222222,0.9688888888888889,0.9704666666666675,109
21,0.9722222222222222,0.9688888888888889,0.9710777777777799,109
22,0.9733333333333334,0.9688888888888889,0.9714888888888915,109
23,0.9733333333333334,0.9711111111111111,0.9719888888888899,109
24,0.9733333333333334,0.97,0.9723555555555555,109
25,0.9733333333333334,0.9711111111111111,0.9726111111111093,109
26,0.9744444444444444,0.9722222222222222,0.9730999999999994,109
27,0.9744444444444444,0.9722222222222222,0.9733444444444439,109
28,0.9744444444444444,0.9722222222222222,0.9733333333333327,109
29,0.9744444444444444,0.9733333333333334,0.9733444444444439,109
30,0.9744444444444444,0.9733333333333334,0.9733777777777773,109
31,0.9744444444444444,0.9733333333333334,0.9733999999999996,109
32,0.9755555555555556,0.9722222222222222,0.9734555555555555,109
33,0.9755555555555556,0.9722222222222222,0.9736000000000005,109
34,0.9755555555555556,0.9733333333333334,0.9739555555555559,109
35,0.9755555555555556,0.9733333333333334,0.9744111111111111,109
36,0.9755555555555556,0.9733333333333334,0.9746222222222228,109
37,0.9755555555555556,0.9733333333333334,0.9748666666666678,109
38,0.9755555555555556,0.9744444444444444,0.9753777777777799,109
39,0.9755555555555556,0.9744444444444444,0.9755444444444465,109
40,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
41,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
42,0.9755555555555556,0.9744444444444444,0.9755444444444465,109
43,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
44,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
45,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
46,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
47,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
48,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
49,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
50,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
51,0.9755555555555556,0.9744444444444444,0.9755222222222244,109
52,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
53,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
54,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
55,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
56,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
57,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
58,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
59,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
60,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
61,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
62,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
63,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
64,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
65,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
66,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
67,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
68,0.9755555555555556,0.9755555555555556,0.9755555555555577,109
